id,user_id,part,loc_id,img_id,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance,golden_answer,start_time,end_time
716,16,1,,106,4,no,2,yes,0.7888888888888889,0.14308829157062597,0.713888888888889,,2017-03-27 11:14:27.000000,2017-03-27 11:15:33.000000
717,14,1,,91,2,yes,2,yes,0.1888888888888889,-0.9722701052067964,0.38055555555555554,,2017-03-27 11:14:27.000000,2017-03-27 11:15:35.000000
718,16,1,,82,2,no,4,no,-0.011111111111111061,-0.9794997273993427,-0.3527777777777778,,2017-03-27 11:14:55.000000,2017-03-27 11:16:00.000000
719,14,1,,130,4,no,3,yes,0.6333333333333333,-0.6272363443046449,0.5805555555555556,,2017-03-27 11:14:57.000000,2017-03-27 11:16:07.000000
720,15,1,,113,3,no,3,yes,0.15555555555555559,0.22197854643900716,0.8027777777777778,,2017-03-27 11:14:29.000000,2017-03-27 11:16:21.000000
721,14,1,,89,4,yes,2,yes,0.3,-0.7737161681026151,0.5805555555555556,,2017-03-27 11:15:29.000000,2017-03-27 11:16:31.000000
722,16,1,,94,4,yes,3,yes,0.3,-0.48962632992449573,0.6694444444444445,,2017-03-27 11:15:22.000000,2017-03-27 11:16:33.000000
723,16,1,,92,2,no,1,no,-0.10000000000000005,0.9361407961423245,-0.9972222222222223,,2017-03-27 11:15:55.000000,2017-03-27 11:16:58.000000
724,15,1,,128,4,yes,3,yes,0.7777777777777777,0.22197854643900716,0.8027777777777778,,2017-03-27 11:15:44.000000,2017-03-27 11:17:06.000000
725,16,1,,146,3,no,3,yes,0.4777777777777777,-0.884867328171649,0.5138888888888888,,2017-03-27 11:16:20.000000,2017-03-27 11:17:17.000000
726,14,1,,108,4,yes,3,yes,0.21111111111111103,-0.9647203736704834,0.4027777777777778,,2017-03-27 11:15:52.000000,2017-03-27 11:17:18.000000
727,15,1,,129,3,no,3,no,0,-0.9991375174730054,-0.063888888888889,,2017-03-27 11:16:28.000000,2017-03-27 11:17:48.000000
728,16,1,,140,2,no,2,no,-0.10000000000000005,-0.9939192614118728,-0.24166666666666672,,2017-03-27 11:16:39.000000,2017-03-27 11:18:02.000000
729,14,1,,86,4,yes,3,yes,0.5000000000000001,-0.884867328171649,0.5138888888888888,,2017-03-27 11:16:40.000000,2017-03-27 11:18:03.000000
730,15,1,,120,3,yes,3,yes,0.7333333333333335,-0.17400564782724315,0.44722222222222224,,2017-03-27 11:17:11.000000,2017-03-27 11:18:21.000000
731,16,1,,138,3,yes,2,yes,-0.05555555555555555,-0.9968909347120797,0.18055555555555558,,2017-03-27 11:17:24.000000,2017-03-27 11:18:21.000000
732,14,1,,120,4,yes,3,yes,0.5000000000000001,-0.7194273621424856,0.6027777777777779,,2017-03-27 11:17:25.000000,2017-03-27 11:18:23.000000
733,16,1,,151,2,yes,1,yes,0.2333333333333334,-0.9944504704447937,0.22500000000000006,,2017-03-27 11:17:43.000000,2017-03-27 11:18:40.000000
734,14,1,,159,4,no,4,yes,0.388888888888889,-0.9696465285865882,0.22500000000000006,,2017-03-27 11:17:45.000000,2017-03-27 11:18:49.000000
735,14,1,,90,3,yes,2,no,0.5666666666666667,-0.8027648583595306,-0.10833333333333324,,2017-03-27 11:18:11.000000,2017-03-27 11:19:24.000000
736,16,1,,96,3,yes,3,yes,0.011111111111111184,-0.578068441179373,0.6472222222222224,,2017-03-27 11:18:03.000000,2017-03-27 11:19:27.000000
737,14,1,,102,4,yes,4,yes,0.4555555555555556,-0.9377769280524884,0.002777777777777735,,2017-03-27 11:18:46.000000,2017-03-27 11:19:44.000000
738,16,1,,132,1,no,2,no,0.1444444444444444,-0.9901034022080508,-0.2861111111111112,,2017-03-27 11:18:50.000000,2017-03-27 11:19:51.000000
739,15,1,,114,3,yes,4,yes,0.3999999999999999,-0.9657647513199741,0.26944444444444443,,2017-03-27 11:17:43.000000,2017-03-27 11:19:58.000000
740,14,1,,112,3,yes,2,no,0.6111111111111112,-0.6963867240216575,-0.24166666666666672,,2017-03-27 11:19:07.000000,2017-03-27 11:20:10.000000
741,16,1,,134,1,no,4,no,-0.6555555555555557,-0.5463140317088938,-0.5750000000000001,,2017-03-27 11:19:13.000000,2017-03-27 11:20:16.000000
742,15,1,,154,4,no,4,yes,0.9111111111111112,0.7238175102044266,0.6694444444444445,,2017-03-27 11:19:21.000000,2017-03-27 11:20:25.000000
743,14,1,,123,4,yes,4,yes,0.5666666666666667,-0.578068441179373,0.6472222222222224,,2017-03-27 11:19:32.000000,2017-03-27 11:20:32.000000
744,16,0,,10005,3,no,4,yes,0.1444444444444444,-0.997909119311801,0.06944444444444448,a010,2017-03-27 11:19:38.000000,2017-03-27 11:20:47.000000
745,14,0,,10003,4,no,4,yes,0.4777777777777777,-0.9211932320787811,0.11388888888888883,a111,2017-03-27 11:19:54.000000,2017-03-27 11:21:11.000000
746,16,1,,143,4,yes,3,yes,0.9,0.8014019692079735,0.9361111111111111,,2017-03-27 11:20:09.000000,2017-03-27 11:21:20.000000
747,14,1,,127,4,yes,4,yes,0.4777777777777777,-0.884867328171649,0.5138888888888888,,2017-03-27 11:20:34.000000,2017-03-27 11:21:28.000000
748,15,1,,140,4,yes,3,yes,0.5333333333333334,-0.8592502067470444,0.49166666666666675,,2017-03-27 11:19:47.000000,2017-03-27 11:21:38.000000
749,16,1,,142,3,yes,2,yes,0.7444444444444445,-0.11202853986693084,0.5805555555555556,,2017-03-27 11:20:42.000000,2017-03-27 11:21:48.000000
750,14,1,,126,5,yes,4,yes,0.5000000000000001,-0.7737161681026151,0.5805555555555556,,2017-03-27 11:20:50.000000,2017-03-27 11:21:54.000000
751,16,1,,102,4,yes,4,yes,0.6777777777777778,-0.4533839730821905,0.5805555555555556,,2017-03-27 11:21:09.000000,2017-03-27 11:22:06.000000
752,14,1,,88,4,yes,3,yes,0.6777777777777778,-0.4533839730821905,0.625,,2017-03-27 11:21:16.000000,2017-03-27 11:22:21.000000
753,16,1,,124,4,yes,4,yes,0.8111111111111112,0.26843125986394867,0.6027777777777779,,2017-03-27 11:21:28.000000,2017-03-27 11:22:22.000000
754,15,1,,117,4,yes,3,yes,0.5555555555555555,-0.823549793585745,0.31388888888888894,,2017-03-27 11:21:00.000000,2017-03-27 11:22:23.000000
755,14,1,,157,4,no,4,yes,0.8333333333333334,0.3875883744082167,-0.7305555555555556,,2017-03-27 11:21:44.000000,2017-03-27 11:22:37.000000
756,16,1,,117,4,yes,3,yes,0.7888888888888889,0.14308829157062597,0.6472222222222224,,2017-03-27 11:21:43.000000,2017-03-27 11:22:40.000000
757,15,1,,84,5,no,4,yes,0.8888888888888891,0.6423496619925195,0.5805555555555556,,2017-03-27 11:21:45.000000,2017-03-27 11:22:43.000000
758,16,1,,120,3,yes,1,yes,0.7000000000000002,-0.34894641036798524,0.6916666666666668,,2017-03-27 11:22:02.000000,2017-03-27 11:23:00.000000
759,14,1,,152,3,yes,3,yes,0.6555555555555557,-0.5463140317088938,0.31388888888888894,,2017-03-27 11:21:59.000000,2017-03-27 11:23:03.000000
760,16,1,,114,3,yes,3,yes,0.2777777777777779,-0.9865891536893029,0.31388888888888894,,2017-03-27 11:22:22.000000,2017-03-27 11:23:17.000000
761,14,1,,121,4,no,3,yes,0.5888888888888888,-0.7545322520279426,0.44722222222222224,,2017-03-27 11:22:26.000000,2017-03-27 11:23:27.000000
762,16,1,,123,4,yes,4,yes,0.8555555555555555,0.49777770092715357,0.8472222222222223,,2017-03-27 11:22:38.000000,2017-03-27 11:23:35.000000
763,15,1,,110,3,no,3,yes,0.17777777777777773,-0.7194273621424856,0.6027777777777779,,2017-03-27 11:22:06.000000,2017-03-27 11:23:48.000000
764,16,1,,100,4,yes,3,yes,0.7000000000000002,0.6531916700460627,0.8916666666666667,,2017-03-27 11:22:57.000000,2017-03-27 11:23:51.000000
765,14,1,,82,3,no,3,yes,0.6333333333333333,-0.6272363443046449,-0.04166666666666663,,2017-03-27 11:22:49.000000,2017-03-27 11:23:55.000000
766,16,1,,144,3,yes,2,yes,0.12222222222222229,-0.7737161681026151,0.5805555555555556,,2017-03-27 11:23:13.000000,2017-03-27 11:24:05.000000
767,15,1,,145,4,no,4,yes,0.7555555555555556,-0.04887286747496844,0.49166666666666675,,2017-03-27 11:23:10.000000,2017-03-27 11:24:07.000000
768,14,1,,83,4,yes,3,yes,0.5444444444444446,-0.8423258860356001,0.38055555555555554,,2017-03-27 11:23:18.000000,2017-03-27 11:24:15.000000
769,16,0,,10003,2,yes,1,yes,0.09999999999999992,-0.9894828714581883,0.2916666666666667,a100,2017-03-27 11:23:27.000000,2017-03-27 11:24:34.000000
770,14,1,,155,4,yes,4,yes,0.7222222222222223,-0.23438947444255687,0.625,,2017-03-27 11:23:37.000000,2017-03-27 11:24:39.000000
771,15,0,,10001,5,no,4,yes,0.9777777777777779,0.9007702065774681,0.31388888888888894,a111,2017-03-27 11:23:30.000000,2017-03-27 11:24:50.000000
772,16,1,,127,3,yes,3,yes,0.5666666666666667,0.09518041858453596,0.7805555555555556,,2017-03-27 11:23:56.000000,2017-03-27 11:24:50.000000
773,14,1,,100,3,no,4,yes,0.6777777777777778,-0.4533839730821905,0.22500000000000006,,2017-03-27 11:24:02.000000,2017-03-27 11:25:07.000000
774,16,1,,155,2,no,4,yes,0.011111111111111184,-0.9430793674021183,0.44722222222222224,,2017-03-27 11:24:12.000000,2017-03-27 11:25:11.000000
775,15,1,,157,4,no,4,yes,0.8888888888888891,0.6423496619925195,0.09166666666666672,,2017-03-27 11:24:13.000000,2017-03-27 11:25:18.000000
