id,loc_id,filepath,heading,,
1,13,PILOT/GSV_PILOT_13_1.jpg,279,,
2,13,PILOT/GSV_PILOT_13_2.jpg,9,,
3,13,PILOT/GSV_PILOT_13_3.jpg,99,,
4,13,PILOT/GSV_PILOT_13_4.jpg,189,,
5,15,PILOT/GSV_PILOT_15_1.jpg,89,,
6,15,PILOT/GSV_PILOT_15_2.jpg,179,,
7,15,PILOT/GSV_PILOT_15_3.jpg,269,,
8,15,PILOT/GSV_PILOT_15_4.jpg,359,,
9,2,PILOT/GSV_PILOT_2_1.jpg,35,,
10,2,PILOT/GSV_PILOT_2_2.jpg,125,,
11,2,PILOT/GSV_PILOT_2_3.jpg,215,,
12,2,PILOT/GSV_PILOT_2_4.jpg,305,,
13,21,PILOT/GSV_PILOT_21_1.jpg,276,,
14,21,PILOT/GSV_PILOT_21_2.jpg,6,,
15,21,PILOT/GSV_PILOT_21_3.jpg,96,,
16,21,PILOT/GSV_PILOT_21_4.jpg,186,,
17,25,PILOT/GSV_PILOT_25_1.jpg,216,,
18,25,PILOT/GSV_PILOT_25_2.jpg,306,,
19,25,PILOT/GSV_PILOT_25_3.jpg,36,,
20,25,PILOT/GSV_PILOT_25_4.jpg,126,,
21,26,PILOT/GSV_PILOT_26_1.jpg,135,,
22,26,PILOT/GSV_PILOT_26_2.jpg,225,,
23,26,PILOT/GSV_PILOT_26_3.jpg,315,,
24,26,PILOT/GSV_PILOT_26_4.jpg,45,,
25,28,PILOT/GSV_PILOT_28_1.jpg,135,,
26,28,PILOT/GSV_PILOT_28_2.jpg,225,,
27,28,PILOT/GSV_PILOT_28_3.jpg,315,,
28,28,PILOT/GSV_PILOT_28_4.jpg,45,,
29,30,PILOT/GSV_PILOT_30_1.jpg,205,,
30,30,PILOT/GSV_PILOT_30_2.jpg,295,,
31,30,PILOT/GSV_PILOT_30_3.jpg,25,,
32,30,PILOT/GSV_PILOT_30_4.jpg,115,,
33,34,PILOT/GSV_PILOT_34_1.jpg,219,,
34,34,PILOT/GSV_PILOT_34_2.jpg,309,,
35,34,PILOT/GSV_PILOT_34_3.jpg,39,,
36,34,PILOT/GSV_PILOT_34_4.jpg,129,,
37,35,PILOT/GSV_PILOT_35_1.jpg,249,,
38,35,PILOT/GSV_PILOT_35_2.jpg,339,,
39,35,PILOT/GSV_PILOT_35_3.jpg,69,,
40,35,PILOT/GSV_PILOT_35_4.jpg,159,,
41,40,PILOT/GSV_PILOT_40_1.jpg,102,,
42,40,PILOT/GSV_PILOT_40_2.jpg,192,,
43,40,PILOT/GSV_PILOT_40_3.jpg,282,,
44,40,PILOT/GSV_PILOT_40_4.jpg,12,,
45,43,PILOT/GSV_PILOT_43_1.jpg,279,,
46,43,PILOT/GSV_PILOT_43_2.jpg,9,,
47,43,PILOT/GSV_PILOT_43_3.jpg,99,,
48,43,PILOT/GSV_PILOT_43_4.jpg,189,,
49,51,PILOT/GSV_PILOT_51_1.jpg,159,,
50,51,PILOT/GSV_PILOT_51_2.jpg,249,,
51,51,PILOT/GSV_PILOT_51_3.jpg,339,,
52,51,PILOT/GSV_PILOT_51_4.jpg,69,,
53,52,PILOT/GSV_PILOT_52_1.jpg,47,,
54,52,PILOT/GSV_PILOT_52_2.jpg,137,,
55,52,PILOT/GSV_PILOT_52_3.jpg,227,,
56,52,PILOT/GSV_PILOT_52_4.jpg,317,,
57,6,PILOT/GSV_PILOT_6_1.jpg,193,,
58,6,PILOT/GSV_PILOT_6_2.jpg,283,,
59,6,PILOT/GSV_PILOT_6_3.jpg,13,,
60,6,PILOT/GSV_PILOT_6_4.jpg,103,,
61,61,PILOT/GSV_PILOT_61_1.jpg,359,,
62,61,PILOT/GSV_PILOT_61_2.jpg,89,,
63,61,PILOT/GSV_PILOT_61_3.jpg,179,,
64,61,PILOT/GSV_PILOT_61_4.jpg,269,,
65,64,PILOT/GSV_PILOT_64_1.jpg,40,,
66,64,PILOT/GSV_PILOT_64_2.jpg,130,,
67,64,PILOT/GSV_PILOT_64_3.jpg,220,,
68,64,PILOT/GSV_PILOT_64_4.jpg,310,,
69,75,PILOT/GSV_PILOT_75_1.jpg,135,,
70,75,PILOT/GSV_PILOT_75_2.jpg,225,,
71,75,PILOT/GSV_PILOT_75_3.jpg,315,,
72,75,PILOT/GSV_PILOT_75_4.jpg,45,,
73,8,PILOT/GSV_PILOT_8_1.jpg,34,,
74,8,PILOT/GSV_PILOT_8_2.jpg,124,,
75,8,PILOT/GSV_PILOT_8_3.jpg,214,,
76,8,PILOT/GSV_PILOT_8_4.jpg,304,,
77,93,PILOT/GSV_PILOT_93_1.jpg,79,,
78,93,PILOT/GSV_PILOT_93_2.jpg,169,,
79,93,PILOT/GSV_PILOT_93_3.jpg,259,,
80,93,PILOT/GSV_PILOT_93_4.jpg,349,,
10001,9999,Training/golden1,0,,
10002,9999,Training/golden2,90,,
10003,9999,Training/golden3,180,,
10004,9999,Training/golden4,270,,
10005,9999,Training/golden5,0,,
81,201,PILOT/GSV_PILOT_201_1.jpg,262,,
82,201,PILOT/GSV_PILOT_201_2.jpg,352,,
83,201,PILOT/GSV_PILOT_201_3.jpg,82,,
84,201,PILOT/GSV_PILOT_201_4.jpg,172,,
85,202,PILOT/GSV_PILOT_202_1.jpg,334,,
86,202,PILOT/GSV_PILOT_202_2.jpg,64,,
87,202,PILOT/GSV_PILOT_202_3.jpg,154,,
88,202,PILOT/GSV_PILOT_202_4.jpg,244,,
89,203,PILOT/GSV_PILOT_203_1.jpg,305,,
90,203,PILOT/GSV_PILOT_203_2.jpg,35,,
91,203,PILOT/GSV_PILOT_203_3.jpg,125,,
92,203,PILOT/GSV_PILOT_203_4.jpg,215,,
93,205,PILOT/GSV_PILOT_205_1.jpg,69,,
94,205,PILOT/GSV_PILOT_205_2.jpg,159,,
95,205,PILOT/GSV_PILOT_205_3.jpg,249,,
96,205,PILOT/GSV_PILOT_205_4.jpg,339,,
97,206,PILOT/GSV_PILOT_206_1.jpg,235,,
98,206,PILOT/GSV_PILOT_206_2.jpg,325,,
99,206,PILOT/GSV_PILOT_206_3.jpg,55,,
100,206,PILOT/GSV_PILOT_206_4.jpg,145,,
101,208,PILOT/GSV_PILOT_208_1.jpg,327,,
102,208,PILOT/GSV_PILOT_208_2.jpg,57,,
103,208,PILOT/GSV_PILOT_208_3.jpg,147,,
104,208,PILOT/GSV_PILOT_208_4.jpg,237,,
105,209,PILOT/GSV_PILOT_209_1.jpg,1,,
106,209,PILOT/GSV_PILOT_209_2.jpg,91,,
107,209,PILOT/GSV_PILOT_209_3.jpg,181,,
108,209,PILOT/GSV_PILOT_209_4.jpg,271,,
109,210,PILOT/GSV_PILOT_210_1.jpg,100,,
110,210,PILOT/GSV_PILOT_210_2.jpg,190,,
111,210,PILOT/GSV_PILOT_210_3.jpg,280,,
112,210,PILOT/GSV_PILOT_210_4.jpg,10,,
113,212,PILOT/GSV_PILOT_212_1.jpg,262,,
114,212,PILOT/GSV_PILOT_212_2.jpg,352,,
115,212,PILOT/GSV_PILOT_212_3.jpg,82,,
116,212,PILOT/GSV_PILOT_212_4.jpg,172,,
117,213,PILOT/GSV_PILOT_213_1.jpg,189,,
118,213,PILOT/GSV_PILOT_213_2.jpg,279,,
119,213,PILOT/GSV_PILOT_213_3.jpg,9,,
120,213,PILOT/GSV_PILOT_213_4.jpg,99,,
121,215,PILOT/GSV_PILOT_215_1.jpg,247,,
122,215,PILOT/GSV_PILOT_215_2.jpg,337,,
123,215,PILOT/GSV_PILOT_215_3.jpg,67,,
124,215,PILOT/GSV_PILOT_215_4.jpg,157,,
125,216,PILOT/GSV_PILOT_216_1.jpg,76,,
126,216,PILOT/GSV_PILOT_216_2.jpg,166,,
127,216,PILOT/GSV_PILOT_216_3.jpg,256,,
128,216,PILOT/GSV_PILOT_216_4.jpg,346,,
129,217,PILOT/GSV_PILOT_217_1.jpg,222,,
130,217,PILOT/GSV_PILOT_217_2.jpg,312,,
131,217,PILOT/GSV_PILOT_217_3.jpg,42,,
132,217,PILOT/GSV_PILOT_217_4.jpg,132,,
133,220,PILOT/GSV_PILOT_220_1.jpg,76,,
134,220,PILOT/GSV_PILOT_220_2.jpg,166,,
135,220,PILOT/GSV_PILOT_220_3.jpg,256,,
136,220,PILOT/GSV_PILOT_220_4.jpg,346,,
137,221,PILOT/GSV_PILOT_221_1.jpg,49,,
138,221,PILOT/GSV_PILOT_221_2.jpg,139,,
139,221,PILOT/GSV_PILOT_221_3.jpg,229,,
140,221,PILOT/GSV_PILOT_221_4.jpg,319,,
141,222,PILOT/GSV_PILOT_222_1.jpg,56,,
142,222,PILOT/GSV_PILOT_222_2.jpg,146,,
143,222,PILOT/GSV_PILOT_222_3.jpg,236,,
144,222,PILOT/GSV_PILOT_222_4.jpg,326,,
145,223,PILOT/GSV_PILOT_223_1.jpg,29,,
146,223,PILOT/GSV_PILOT_223_2.jpg,119,,
147,223,PILOT/GSV_PILOT_223_3.jpg,209,,
148,223,PILOT/GSV_PILOT_223_4.jpg,299,,
149,224,PILOT/GSV_PILOT_224_1.jpg,346,,
150,224,PILOT/GSV_PILOT_224_2.jpg,76,,
151,224,PILOT/GSV_PILOT_224_3.jpg,166,,
152,224,PILOT/GSV_PILOT_224_4.jpg,256,,
153,225,PILOT/GSV_PILOT_225_1.jpg,59,,
154,225,PILOT/GSV_PILOT_225_2.jpg,149,,
155,225,PILOT/GSV_PILOT_225_3.jpg,239,,
156,225,PILOT/GSV_PILOT_225_4.jpg,329,,
157,226,PILOT/GSV_PILOT_226_1.jpg,333,,
158,226,PILOT/GSV_PILOT_226_2.jpg,63,,
159,226,PILOT/GSV_PILOT_226_3.jpg,153,,
160,226,PILOT/GSV_PILOT_226_4.jpg,243,,
161,228,PILOT/GSV_PILOT_228_1.jpg,111,,
162,228,PILOT/GSV_PILOT_228_2.jpg,201,,
163,228,PILOT/GSV_PILOT_228_3.jpg,291,,
164,228,PILOT/GSV_PILOT_228_4.jpg,21,,
165,229,PILOT/GSV_PILOT_229_1.jpg,187,,
166,229,PILOT/GSV_PILOT_229_2.jpg,277,,
167,229,PILOT/GSV_PILOT_229_3.jpg,7,,
168,229,PILOT/GSV_PILOT_229_4.jpg,97,,
169,251,PILOT/GSV_PILOT_251_1.jpg,263,,
170,251,PILOT/GSV_PILOT_251_2.jpg,353,,
171,251,PILOT/GSV_PILOT_251_3.jpg,83,,
172,251,PILOT/GSV_PILOT_251_4.jpg,173,,
173,252,PILOT/GSV_PILOT_252_1.jpg,311,,
174,252,PILOT/GSV_PILOT_252_2.jpg,41,,
175,252,PILOT/GSV_PILOT_252_3.jpg,131,,
176,252,PILOT/GSV_PILOT_252_4.jpg,221,,
177,253,PILOT/GSV_PILOT_253_1.jpg,194,,
178,253,PILOT/GSV_PILOT_253_2.jpg,284,,
179,253,PILOT/GSV_PILOT_253_3.jpg,14,,
180,253,PILOT/GSV_PILOT_253_4.jpg,104,,
181,271,PILOT/GSV_PILOT_271_1.jpg,325,,
182,271,PILOT/GSV_PILOT_271_2.jpg,55,,
183,271,PILOT/GSV_PILOT_271_3.jpg,145,,
184,271,PILOT/GSV_PILOT_271_4.jpg,235,,
185,272,PILOT/GSV_PILOT_272_1.jpg,49,,
186,272,PILOT/GSV_PILOT_272_2.jpg,139,,
187,272,PILOT/GSV_PILOT_272_3.jpg,229,,
188,272,PILOT/GSV_PILOT_272_4.jpg,319,,
189,273,PILOT/GSV_PILOT_273_1.jpg,98,,
190,273,PILOT/GSV_PILOT_273_2.jpg,188,,
191,273,PILOT/GSV_PILOT_273_3.jpg,278,,
192,273,PILOT/GSV_PILOT_273_4.jpg,8,,
193,274,PILOT/GSV_PILOT_274_1.jpg,189,,
194,274,PILOT/GSV_PILOT_274_2.jpg,279,,
195,274,PILOT/GSV_PILOT_274_3.jpg,9,,
196,274,PILOT/GSV_PILOT_274_4.jpg,99,,
197,277,PILOT/GSV_PILOT_277_1.jpg,98,,
198,277,PILOT/GSV_PILOT_277_2.jpg,188,,
199,277,PILOT/GSV_PILOT_277_3.jpg,278,,
200,277,PILOT/GSV_PILOT_277_4.jpg,8,,
