loc_id,latitude,longitude
13,52.394211009,4.7785536869
15,52.347762651,4.8417549387
2,52.3055288008,4.7579852888
21,52.3504704204,4.79604332
25,52.3336446814,4.8315699471
26,52.3624237702,4.8958182231
28,52.3695594307,4.9214233554
30,52.3611497386,4.9226506593
34,52.2921464425,4.9691734027
35,52.3528190708,4.761750219
40,52.3541748109,4.7954829552
43,52.3393222586,4.9654008299
51,52.3533697921,4.8268706338
52,52.3381545488,4.9637032409
6,52.3881530509,4.9240604884
61,52.3113669942,4.9061048775
64,52.377936952,4.8111467114
75,52.3610021423,4.9015679034
8,52.392404897,4.9375581491
93,52.3600085727,4.8744642619
9999,0,0
201,52.369103,4.9099665
202,52.3767894,4.8810711
203,52.365724,4.8537443
205,52.3642243,4.881436
206,52.3289568,4.7566565
208,52.3496691,4.889259
209,52.3740167,4.8910744
210,52.3900074,4.8743719
212,52.367281,4.9042328
213,52.3559471,4.8754556
215,52.3828276,4.904378
216,52.3787694229,4.7459786572
217,52.3171372924,4.9535890374
220,52.4195656475,4.844407382
221,52.3494478528,4.9777490312
222,52.3290697699,4.8568209977
223,52.4091991267,4.8983820114
224,52.3927610904,4.9265022558
225,52.2908308232,4.9153568199
226,52.3372070715,4.87128271
228,52.3316553192,4.9238718686
229,52.3838631411,4.9638781238
251,52.3769894,4.8937322
252,52.3892356,4.9089687
253,52.3028965,4.8626682
271,52.4042878,4.8038061
272,52.3504744,4.9416003
273,52.3203653,4.8749543
274,52.3161575,4.8436348
277,52.3218086,4.801171
