id,user_id,part,loc_id,img_id,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance,golden_answer,start_time,end_time
266,8,1,,8,2,no,2,no,0.022222222222222122,-0.9994376187131441,0.02499999999999998,,2017-03-16 16:24:33.000000,2017-03-16 16:23:56.000000
267,7,1,,14,2,yes,2,yes,-0.0066663953993055585,-0.9992082078046357,0.05611165364583335,,2017-03-16 16:23:00.000000,2017-03-16 16:24:03.000000
268,8,1,,6,2,no,2,no,0,-0.9952349412869108,-0.21944444444444436,,2017-03-16 16:25:07.000000,2017-03-16 16:24:16.000000
269,9,1,,2,2,yes,1,no,-1,1,-0.14537082248263877,,2017-03-16 16:23:19.000000,2017-03-16 16:24:19.000000
270,10,1,,30,2,no,2,yes,-0.0037041558159722323,-0.9928467496403643,-0.2564805772569444,,2017-03-16 15:23:21.000000,2017-03-16 16:24:33.000000
271,7,1,,27,2,yes,2,yes,0.015555826822916565,-0.9989890568158002,0.0783338758680556,,2017-03-16 16:23:33.000000,2017-03-16 16:24:45.000000
272,9,1,,24,4,yes,2,yes,0.8629625108506944,0.5321573173321874,0.2546298556857639,,2017-03-16 16:23:48.000000,2017-03-16 16:24:51.000000
273,8,1,,75,4,no,3,yes,0.8222222222222222,0.32897597368471687,0.02499999999999998,,2017-03-16 16:25:28.000000,2017-03-16 16:25:01.000000
274,7,1,,77,4,no,4,yes,-0.0066663953993055585,-0.9978963028824751,0.14500054253472222,,2017-03-16 16:24:15.000000,2017-03-16 16:25:07.000000
275,10,1,,6,1,yes,2,no,-0.04814860026041672,-0.840835544357081,-0.5453694661458335,,2017-03-16 15:24:03.000000,2017-03-16 16:25:14.000000
276,8,1,,49,3,yes,4,yes,0.8444444444444446,0.4439446777788574,-0.13055555555555562,,2017-03-16 16:26:12.000000,2017-03-16 16:25:57.000000
277,10,1,,65,2,yes,1,yes,-0.22592637803819443,-0.9204178041951534,-0.47870279947916683,,2017-03-16 15:24:45.000000,2017-03-16 16:26:01.000000
278,9,1,,41,1,yes,1,no,-1,0.9465936100714925,-0.16759304470486114,,2017-03-16 16:24:20.000000,2017-03-16 16:26:03.000000
279,10,1,,58,2,yes,1,yes,-0.4037041558159723,-0.9643651623625202,-0.03425835503472217,,2017-03-16 15:25:32.000000,2017-03-16 16:26:25.000000
280,8,1,,40,4,yes,4,yes,0.8666666666666667,0.5488794051240125,-0.13055555555555562,,2017-03-16 16:27:09.000000,2017-03-16 16:26:32.000000
281,9,1,,51,1,yes,1,no,-0.4259263780381945,-0.6241041141618066,-0.634259033203125,,2017-03-16 16:25:32.000000,2017-03-16 16:26:35.000000
282,7,1,,18,4,yes,3,no,1,1,0.05611165364583335,,2017-03-16 16:24:37.000000,2017-03-16 16:26:47.000000
283,9,1,,78,4,yes,3,yes,1,0.9953688782252366,0.2546298556857639,,2017-03-16 16:26:04.000000,2017-03-16 16:27:05.000000
284,10,1,,63,4,yes,3,yes,0.7962958441840279,0.18535123692177558,-0.38981391059027787,,2017-03-16 15:25:56.000000,2017-03-16 16:27:07.000000
285,8,1,,76,3,no,4,yes,0.04444444444444449,-0.9551596320618567,0.42500000000000004,,2017-03-16 16:27:43.000000,2017-03-16 16:27:12.000000
286,7,1,,37,4,yes,2,yes,1,1,-0.27722167968749994,,2017-03-16 16:26:17.000000,2017-03-16 16:27:14.000000
287,9,1,,20,4,yes,2,yes,1,0.9953688782252366,0.18796386718750005,,2017-03-16 16:26:34.000000,2017-03-16 16:27:34.000000
288,7,1,,51,3,no,3,yes,0.03777804904513893,-0.9978963028824751,0.14500054253472222,,2017-03-16 16:26:43.000000,2017-03-16 16:27:46.000000
289,10,1,,22,3,yes,3,yes,0.7074069552951389,-0.31179177382696965,-0.14536946614583326,,2017-03-16 15:26:38.000000,2017-03-16 16:27:53.000000
290,8,1,,59,3,yes,4,yes,0.15555555555555559,-0.9087501520570657,0.49166666666666675,,2017-03-16 16:28:24.000000,2017-03-16 16:27:55.000000
291,9,1,,71,5,no,4,yes,0.81851806640625,0.3089891193568519,0.6546298556857639,,2017-03-16 16:27:02.000000,2017-03-16 16:28:04.000000
292,7,1,,8,2,yes,1,yes,-0.9844441731770833,0.9136066655788582,0.8561116536458334,,2017-03-16 16:27:17.000000,2017-03-16 16:28:14.000000
293,10,1,,44,2,yes,2,yes,-0.5370374891493056,-0.8538043109386029,-0.2564805772569444,,2017-03-16 15:27:24.000000,2017-03-16 16:28:17.000000
294,9,1,,58,1,yes,1,no,-0.9148152669270834,0.7362355221745918,-0.27870347764756936,,2017-03-16 16:27:33.000000,2017-03-16 16:28:26.000000
295,7,1,,42,2,yes,1,yes,-0.0066663953993055585,-0.9978963028824751,0.14500054253472222,,2017-03-16 16:27:44.000000,2017-03-16 16:28:36.000000
296,10,1,,5,2,yes,2,no,-0.49259304470486115,-0.9078565562602489,-0.38981391059027787,,2017-03-16 15:27:47.000000,2017-03-16 16:28:37.000000
297,8,1,,32,4,no,2,yes,0.8444444444444446,0.4439446777788574,0.22500000000000006,,2017-03-16 16:29:07.000000,2017-03-16 16:28:42.000000
298,9,1,,52,1,yes,1,no,-1,1,-0.3675923665364584,,2017-03-16 16:27:55.000000,2017-03-16 16:28:53.000000
299,10,1,,35,2,yes,2,yes,-0.4037041558159723,-0.9643651623625202,-0.3231472439236112,,2017-03-16 15:28:07.000000,2017-03-16 16:28:55.000000
300,7,1,,19,4,no,4,yes,1,1,0.03388943142361111,,2017-03-16 16:28:06.000000,2017-03-16 16:29:00.000000
301,10,1,,62,5,no,4,yes,0.8407402886284724,0.4254253406681505,0.45463053385416674,,2017-03-16 15:28:25.000000,2017-03-16 16:29:18.000000
302,8,1,,50,3,no,3,yes,0.06666666666666661,-0.9829057624523566,0.33611111111111114,,2017-03-16 16:29:53.000000,2017-03-16 16:29:27.000000
