id,loc_id,filepath,heading,,
1,13,PILOT/GSV_PILOT_13_1.jpg,279,,
2,13,PILOT/GSV_PILOT_13_2.jpg,9,,
3,13,PILOT/GSV_PILOT_13_3.jpg,99,,
4,13,PILOT/GSV_PILOT_13_4.jpg,189,,
5,15,PILOT/GSV_PILOT_15_1.jpg,89,,
6,15,PILOT/GSV_PILOT_15_2.jpg,179,,
7,15,PILOT/GSV_PILOT_15_3.jpg,269,,
8,15,PILOT/GSV_PILOT_15_4.jpg,359,,
9,2,PILOT/GSV_PILOT_2_1.jpg,35,,
10,2,PILOT/GSV_PILOT_2_2.jpg,125,,
11,2,PILOT/GSV_PILOT_2_3.jpg,215,,
12,2,PILOT/GSV_PILOT_2_4.jpg,305,,
13,21,PILOT/GSV_PILOT_21_1.jpg,276,,
14,21,PILOT/GSV_PILOT_21_2.jpg,6,,
15,21,PILOT/GSV_PILOT_21_3.jpg,96,,
16,21,PILOT/GSV_PILOT_21_4.jpg,186,,
17,25,PILOT/GSV_PILOT_25_1.jpg,216,,
18,25,PILOT/GSV_PILOT_25_2.jpg,306,,
19,25,PILOT/GSV_PILOT_25_3.jpg,36,,
20,25,PILOT/GSV_PILOT_25_4.jpg,126,,
21,26,PILOT/GSV_PILOT_26_1.jpg,135,,
22,26,PILOT/GSV_PILOT_26_2.jpg,225,,
23,26,PILOT/GSV_PILOT_26_3.jpg,315,,
24,26,PILOT/GSV_PILOT_26_4.jpg,45,,
25,28,PILOT/GSV_PILOT_28_1.jpg,135,,
26,28,PILOT/GSV_PILOT_28_2.jpg,225,,
27,28,PILOT/GSV_PILOT_28_3.jpg,315,,
28,28,PILOT/GSV_PILOT_28_4.jpg,45,,
29,30,PILOT/GSV_PILOT_30_1.jpg,205,,
30,30,PILOT/GSV_PILOT_30_2.jpg,295,,
31,30,PILOT/GSV_PILOT_30_3.jpg,25,,
32,30,PILOT/GSV_PILOT_30_4.jpg,115,,
33,34,PILOT/GSV_PILOT_34_1.jpg,219,,
34,34,PILOT/GSV_PILOT_34_2.jpg,309,,
35,34,PILOT/GSV_PILOT_34_3.jpg,39,,
36,34,PILOT/GSV_PILOT_34_4.jpg,129,,
37,35,PILOT/GSV_PILOT_35_1.jpg,249,,
38,35,PILOT/GSV_PILOT_35_2.jpg,339,,
39,35,PILOT/GSV_PILOT_35_3.jpg,69,,
40,35,PILOT/GSV_PILOT_35_4.jpg,159,,
41,40,PILOT/GSV_PILOT_40_1.jpg,102,,
42,40,PILOT/GSV_PILOT_40_2.jpg,192,,
43,40,PILOT/GSV_PILOT_40_3.jpg,282,,
44,40,PILOT/GSV_PILOT_40_4.jpg,12,,
45,43,PILOT/GSV_PILOT_43_1.jpg,279,,
46,43,PILOT/GSV_PILOT_43_2.jpg,9,,
47,43,PILOT/GSV_PILOT_43_3.jpg,99,,
48,43,PILOT/GSV_PILOT_43_4.jpg,189,,
49,51,PILOT/GSV_PILOT_51_1.jpg,159,,
50,51,PILOT/GSV_PILOT_51_2.jpg,249,,
51,51,PILOT/GSV_PILOT_51_3.jpg,339,,
52,51,PILOT/GSV_PILOT_51_4.jpg,69,,
53,52,PILOT/GSV_PILOT_52_1.jpg,47,,
54,52,PILOT/GSV_PILOT_52_2.jpg,137,,
55,52,PILOT/GSV_PILOT_52_3.jpg,227,,
56,52,PILOT/GSV_PILOT_52_4.jpg,317,,
57,6,PILOT/GSV_PILOT_6_1.jpg,193,,
58,6,PILOT/GSV_PILOT_6_2.jpg,283,,
59,6,PILOT/GSV_PILOT_6_3.jpg,13,,
60,6,PILOT/GSV_PILOT_6_4.jpg,103,,
61,61,PILOT/GSV_PILOT_61_1.jpg,359,,
62,61,PILOT/GSV_PILOT_61_2.jpg,89,,
63,61,PILOT/GSV_PILOT_61_3.jpg,179,,
64,61,PILOT/GSV_PILOT_61_4.jpg,269,,
65,64,PILOT/GSV_PILOT_64_1.jpg,40,,
66,64,PILOT/GSV_PILOT_64_2.jpg,130,,
67,64,PILOT/GSV_PILOT_64_3.jpg,220,,
68,64,PILOT/GSV_PILOT_64_4.jpg,310,,
69,75,PILOT/GSV_PILOT_75_1.jpg,135,,
70,75,PILOT/GSV_PILOT_75_2.jpg,225,,
71,75,PILOT/GSV_PILOT_75_3.jpg,315,,
72,75,PILOT/GSV_PILOT_75_4.jpg,45,,
73,8,PILOT/GSV_PILOT_8_1.jpg,34,,
74,8,PILOT/GSV_PILOT_8_2.jpg,124,,
75,8,PILOT/GSV_PILOT_8_3.jpg,214,,
76,8,PILOT/GSV_PILOT_8_4.jpg,304,,
77,93,PILOT/GSV_PILOT_93_1.jpg,79,,
78,93,PILOT/GSV_PILOT_93_2.jpg,169,,
79,93,PILOT/GSV_PILOT_93_3.jpg,259,,
80,93,PILOT/GSV_PILOT_93_4.jpg,349,,
10001,9999,Training/golden1,0,,
10002,9999,Training/golden2,90,,
10003,9999,Training/golden3,180,,
10004,9999,Training/golden4,270,,
10005,9999,Training/golden5,0,,
